Scenario,Pair,Agent,Cumulative Reward,Holding Cost,Lost Sales (units),Ordering Quantity,Service Level (%),Avg Inventory,Total Cost
Scenario A,S002_P0003,RL+LSTM Agent,-33843.23818035947,5847.897501945496,823.5137643814087,3289.927746971715,79.58061581003201,194.92991673151653,33843.23818035947
Scenario A,S002_P0003,Standard RL Agent,-73274.99016665267,2469.2545034885406,2304.655347585678,1666.075235593793,42.855062048458265,82.30848344961802,73274.99016665267
Scenario A,S002_P0003,Fixed-S Policy,-72980.68728912252,3402.4415124394,2264.203383114189,1652.1442832574576,43.85808621090531,113.41471708131333,72980.68728912252
Scenario A,S002_P0003,Forecast Base-Stock,-56528.57011840482,3392.0871419906616,1694.077088356018,2314.1703257336176,57.9946171992061,113.06957139968873,56528.57011840482
Scenario A,S004_P0009,RL+LSTM Agent,-30469.040635790607,6980.497666716576,689.740304350853,2796.3338385484394,80.39396508060366,232.68325555721918,30469.040635790607
Scenario A,S004_P0009,Standard RL Agent,-57398.21845033233,2366.240644097328,1784.9702953100204,1482.86894693439,49.261787778416114,78.8746881365776,57398.21845033233
Scenario A,S004_P0009,Fixed-S Policy,-55717.364470349115,3683.2289185523987,1681.48015832901,1589.730801926428,52.20351994436866,122.77429728507995,55717.364470349115
Scenario A,S004_P0009,Forecast Base-Stock,-42804.372318206355,3853.7480186223984,1228.787332892418,2087.0043128114185,65.07142296132106,128.4582672874133,42804.372318206355
Scenario A,S002_P0010,RL+LSTM Agent,-54994.87653332584,5446.798564910889,1537.6946544647217,3417.238334473311,68.73333370270277,181.5599521636963,54994.87653332584
Scenario A,S002_P0010,Standard RL Agent,-96857.95441395772,2333.2616155147552,3100.2307856082916,1517.769230194234,36.96155401413863,77.77538718382517,96857.95441395772
Scenario A,S002_P0010,Fixed-S Policy,-93419.97681224927,2840.9923371076584,2951.7108330726624,2027.6594829617447,39.981479836823134,94.69974457025528,93419.97681224927
Scenario A,S002_P0010,Forecast Base-Stock,-79994.90294025751,3330.80875313282,2471.472521662712,2519.918537243321,49.74639056369262,111.02695843776067,79994.90294025751
Scenario A,S005_P0008,RL+LSTM Agent,-52058.381281135196,5743.2855139784515,1439.0197495408356,3144.5032809316735,68.90622840231556,191.4428504659484,52058.381281135196
Scenario A,S005_P0008,Standard RL Agent,-89849.8820416101,2065.436199232936,2866.0100974589586,1804.1429186084017,38.072383373834086,68.84787330776453,89849.8820416101
Scenario A,S005_P0008,Fixed-S Policy,-80533.7729000475,2941.9191995859146,2523.7317301034927,1879.9017973568039,45.468199435966014,98.06397331953049,80533.7729000475
Scenario A,S005_P0008,Forecast Base-Stock,-71567.56981697894,3223.3283178806305,2200.5667741298676,2327.238275202283,52.45102043798904,107.44427726268768,71567.56981697894
Scenario A,S004_P0003,RL+LSTM Agent,-39373.38967144958,5788.628093719482,1021.353467464447,2944.157553796682,73.79128888982626,192.95426979064942,39373.38967144958
Scenario A,S004_P0003,Standard RL Agent,-70786.08887289691,2316.692759513855,2232.5532064437866,1492.7999200694653,42.710977257426244,77.22309198379517,70786.08887289691
Scenario A,S004_P0003,Fixed-S Policy,-65778.10784105379,2655.718854188919,2042.6026490926743,1844.3095140846356,47.58525383396813,88.52396180629731,65778.10784105379
Scenario A,S004_P0003,Forecast Base-Stock,-55797.31927428713,3505.499918460846,1668.0741219520569,2249.59569726458,57.19594228124556,116.8499972820282,55797.31927428713
Scenario A,S001_P0006,RL+LSTM Agent,-33579.92872282327,5551.165613770485,826.0694173574448,3246.680588329443,78.52691926906216,185.0388537923495,33579.92872282327
Scenario A,S001_P0006,Standard RL Agent,-68820.64816059136,2760.501712322235,2149.3251996040344,1580.3904601480915,44.129836357122976,92.0167237440745,68820.64816059136
Scenario A,S001_P0006,Fixed-S Policy,-70268.84647285994,3615.7265887260437,2165.732093811035,1681.1570698028404,43.703350935379724,120.52421962420144,70268.84647285994
Scenario A,S001_P0006,Forecast Base-Stock,-55972.533299720635,3979.624653339386,1659.3158144950867,2213.434211528649,56.867278107504006,132.65415511131286,55972.533299720635
Scenario A,S005_P0004,RL+LSTM Agent,-40501.99646214919,5926.12849521637,1049.509822845459,3090.5732815690435,72.75415817749625,197.53761650721233,40501.99646214919
Scenario A,S005_P0004,Standard RL Agent,-74588.42261159269,2282.9128737449646,2367.1098008155823,1292.215713380258,38.548551137270785,76.09709579149882,74588.42261159269
Scenario A,S005_P0004,Fixed-S Policy,-71600.8916724043,3127.281437948346,2229.8905806168914,1576.8928159492043,42.110836203269045,104.24271459827818,71600.8916724043
Scenario A,S005_P0004,Forecast Base-Stock,-52859.504961286984,3091.9920601844788,1580.2561979293823,2359.826963221035,58.97569563371769,103.06640200614929,52859.504961286984
Scenario A,S001_P0011,RL+LSTM Agent,-38788.693364602346,6955.920327961445,958.6830989718437,3072.280067485588,75.17651219648256,231.8640109320482,38788.693364602346
Scenario A,S001_P0011,Standard RL Agent,-65530.49838107733,2926.8545932769775,2030.0792036056519,1701.2676796307846,47.434510522898705,97.56181977589925,65530.49838107733
Scenario A,S001_P0011,Fixed-S Policy,-70112.33046371241,3463.9288288354874,2163.3234943151474,1748.6968054225167,43.98437352886722,115.46429429451625,70112.33046371241
Scenario A,S001_P0011,Forecast Base-Stock,-54017.184708533736,4189.05441570282,1585.9451913833618,2249.7745513300683,58.934614412652465,139.635147190094,54017.184708533736
Scenario A,S002_P0008,RL+LSTM Agent,-37603.397794679135,5851.219091296196,956.060300886631,3070.369676784008,75.28282570244271,195.04063637653988,37603.397794679135
Scenario A,S002_P0008,Standard RL Agent,-66493.39130038596,2024.6017684936523,2100.0272254943848,1467.9727670607717,45.707672503477944,67.48672561645508,66493.39130038596
